cust_id,product_type
1079581,current_account
123863,individual_account
163773,current_account
454058,junior_account
1203527,payroll_account;direct_debit
193581,current_account;individual_plus_account;taxes
450769,current_account;individual_plus_account
1366399,current_account
272559,
334939,
912760,current_account;premium_individual_account
773869,current_account
735772,individual_plus_account
1034928,current_account
133692,payroll_account;longterm_deposit;eaccount;securities;payroll;pensions
996907,current_account
1352069,current_account
682411,current_account
463565,current_account;home_account
198249,current_account;individual_account;longterm_deposit;direct_debit
1184908,current_account
93944,current_account
176346,current_account;individual_account
1043890,current_account
1042814,current_account;eaccount
171201,current_account;individual_account;taxes;direct_debit
1181338,current_account
311236,current_account;individual_account
417810,
35473,current_account;individual_account
1031348,
1346544,current_account
842425,current_account;individual_plus_account
337368,individual_account
735830,current_account;individual_account;eaccount
399905,current_account;individual_account
233399,
1245353,current_account
1056896,current_account
1096191,current_account
1073746,
19298,payroll_account;individual_account;eaccount;mortgage;home_account;payroll;pensions;direct_debit
264424,current_account;direct_debit
250109,
570843,payroll_account;individual_plus_account;credit_card;payroll;pensions;direct_debit
507517,
1019429,
1380201,current_account
381430,current_account;individual_account;funds
454558,current_account;individual_account
559281,
122413,payroll_account;pension;credit_card;payroll;pensions;direct_debit
282010,current_account
279828,
709068,
1289330,current_account
1286379,current_account
676930,payroll_account;payroll;pensions;direct_debit
205501,current_account
136289,current_account
983610,payroll_account
1372239,
674449,current_account;individual_account
577879,payroll_account;credit_card;direct_debit
54684,current_account;payroll_account;individual_account;taxes;pensions;direct_debit
779727,current_account
692149,
251590,
515765,individual_plus_account
501449,
934750,current_account
913591,
574196,current_account
1081278,taxes
1150957,current_account
1298907,current_account;direct_debit
1260349,current_account;taxes
1233674,
440062,current_account;eaccount
1309391,
1274305,current_account
1012897,payroll_account;taxes;payroll;pensions;direct_debit
1445523,current_account
123680,current_account;payroll_account;eaccount;funds;credit_card;payroll;pensions;direct_debit
1291803,current_account
964078,current_account;longterm_deposit;eaccount;taxes;direct_debit
1037453,current_account
892586,
1019425,payroll_account;payroll;pensions;direct_debit
470816,current_account;eaccount
673066,current_account
628823,current_account;longterm_deposit;funds
880764,current_account
912568,
297912,payroll_account;eaccount;securities;payroll;pensions
281763,current_account;individual_account
1201346,current_account
1060472,current_account
251720,current_account;individual_account;credit_card
1190908,current_account
669366,current_account
1140557,current_account
215716,credit_card
323663,current_account;individual_account
287040,
1040641,current_account
990325,current_account
1141140,current_account
1290391,current_account
1036816,current_account
1105072,current_account
779488,
430452,payroll_account;individual_plus_account;payroll;pensions
839889,
1034048,current_account
942895,current_account
608276,loan
1053976,current_account
1086524,current_account
182866,current_account;eaccount;funds;direct_debit
1264209,
1133039,payroll_account;eaccount;payroll;pensions
1411082,current_account
143485,payroll_account;individual_plus_account;eaccount;funds;taxes;credit_card;direct_debit
666013,
908309,
720346,current_account
823786,current_account;longterm_deposit
544017,individual_plus_account
1165203,current_account
369011,current_account;individual_account;eaccount;credit_card;direct_debit
1148632,current_account
156548,payroll_account;individual_account;taxes;payroll;pensions;direct_debit
1356339,current_account
689987,
1220380,current_account
214286,current_account
356752,individual_account;longterm_deposit
708538,current_account;longterm_deposit;funds
966790,current_account
162088,current_account
610101,current_account
1175129,current_account
1076744,current_account
208931,payroll_account;longterm_deposit;eaccount;funds;mortgage;payroll;pensions;direct_debit
1117383,current_account
708783,
1321010,current_account;longterm_deposit;eaccount
473863,current_account;individual_account
1151286,current_account
1124457,current_account;eaccount
1244762,longterm_deposit
394972,junior_account
748756,current_account
307965,current_account;individual_account
469790,
1094165,current_account
1057477,current_account
29838,current_account;eaccount
1139648,current_account
777606,
679942,payroll_account;eaccount;taxes;securities;payroll;pensions;direct_debit
1386638,current_account;direct_debit
489223,payroll_account;eaccount;taxes;payroll;pensions;direct_debit
1328151,current_account
1083860,current_account
505473,current_account;payroll_account;credit_card
449668,current_account;eaccount
73604,current_account;eaccount;pension;securities;payroll;pensions;direct_debit
795445,current_account
869398,current_account;funds
45796,current_account
1079923,current_account
379552,current_account;individual_account;direct_debit
1003882,payroll_account;eaccount;direct_debit
952660,current_account
1223657,current_account
1421161,eaccount
1077872,current_account
1034089,current_account
1243870,current_account;taxes;direct_debit
707999,
990578,current_account
443103,current_account;longterm_deposit
406132,
179808,current_account;payroll_account;longterm_deposit;eaccount;payroll;pensions;direct_debit
779836,
779099,current_account;credit_card;payroll;pensions
919454,current_account
1165641,current_account
840602,current_account
132323,payroll_account;individual_account;taxes;payroll;pensions;direct_debit
246913,individual_account
1299276,current_account
1291295,current_account
246863,individual_account
51966,premium_individual_account
183522,current_account
1103428,current_account
1366262,
486428,payroll_account;eaccount
107297,
1005257,current_account;longterm_deposit
969568,current_account
282534,
1436585,eaccount
842729,individual_plus_account
1379608,
963837,current_account
1063002,current_account
1222267,
444363,current_account;longterm_deposit;eaccount;direct_debit
1187701,current_account
1425935,
953186,
683754,current_account;direct_debit
454705,current_account;securities;direct_debit
321264,
198189,current_account;payroll_account;individual_account
1144101,current_account
670479,current_account
