cust_id,products
1184621,current_account
136560,current_account;payroll_account;individual_account;longterm_deposit;eaccount;funds;payroll;pensions
341825,payroll_account;longterm_deposit;eaccount;taxes;pensions;direct_debit
922407,current_account
1381294,premium_individual_account
924864,current_account
244185,individual_account
882546,current_account;individual_plus_account
1199515,current_account
906150,current_account
969608,current_account;eaccount;direct_debit
1014612,current_account;eaccount
1451788,
1231077,
1180674,
214319,current_account
1253562,current_account
1181348,current_account
923781,current_account
1187221,current_account
1380966,taxes
1325517,current_account;direct_debit
465563,individual_account
237127,current_account;individual_account
118741,payroll_account;taxes;direct_debit
1223406,
1057474,current_account
1365951,
974097,current_account
287730,current_account;individual_plus_account;taxes;direct_debit
136114,current_account;payroll_account;individual_plus_account;taxes;payroll;pensions;direct_debit
391496,current_account;eaccount;direct_debit
1111093,
222920,current_account;individual_account;funds
426348,current_account
1421643,current_account;longterm_deposit;eaccount
971820,current_account
555644,
437400,individual_account
415688,
412759,current_account;eaccount
1185525,current_account
1315458,current_account
1433997,current_account
1301573,
995985,current_account
181125,payroll_account;individual_account;taxes;credit_card;payroll;pensions;direct_debit
1077656,current_account
1225372,current_account
513938,current_account
1212060,
331707,taxes;direct_debit
951121,current_account
254187,current_account
1446665,current_account
1083440,current_account
1079546,current_account
1186590,current_account
1400738,current_account;direct_debit
946576,current_account
947106,current_account
1110685,
1307988,current_account
1224779,current_account
1029543,current_account
932739,current_account
830255,current_account
596018,individual_account
373846,current_account
32346,
1306394,current_account
256243,current_account;individual_account
1180746,current_account
382732,
1294162,
1236159,current_account
1073309,current_account
1243157,direct_debit
264598,current_account;individual_account
52591,
601023,
190146,individual_account
1039047,current_account
608190,individual_plus_account
675771,loan
1376520,current_account
956429,current_account
171363,payroll_account;longterm_deposit;funds;taxes;home_account;payroll;pensions;direct_debit
1450848,current_account
1032641,current_account
1278215,current_account
746535,
1043560,current_account
134563,payroll_account;individual_account;eaccount;payroll;pensions;direct_debit
1028598,current_account
1329873,current_account
316908,individual_account
1412165,current_account
973919,current_account
382828,current_account;individual_account
1104405,current_account
1356783,current_account
52321,current_account
290841,individual_account
511419,current_account;taxes
52958,payroll_account;individual_account;individual_plus_account;eaccount;pension;credit_card;payroll;pensions;direct_debit
267793,current_account;individual_plus_account;longterm_deposit
468688,current_account
478200,
359330,current_account;funds
1107132,current_account
1434230,current_account
982416,current_account
1184779,current_account
362287,
239955,
1127583,
1178424,current_account
720057,current_account;credit_card;direct_debit
1178137,current_account
335347,current_account;individual_plus_account;securities
1343983,current_account
442021,current_account;individual_account
277575,
804647,current_account
370858,current_account;individual_account;longterm_deposit
930319,current_account;premium_individual_account;direct_debit
663311,current_account
513158,payroll_account;payroll;pensions;direct_debit
1112912,current_account
1391507,payroll_account
172060,current_account;individual_account
110595,current_account;pension
948854,current_account
1282466,current_account
1118758,longterm_deposit
1192060,current_account;direct_debit
1145029,
967447,current_account
1099133,current_account
201932,
1368973,current_account
1059544,current_account
665805,current_account;individual_plus_account
888752,current_account;premium_individual_account
1193507,current_account
1186148,current_account
1021186,current_account
1419998,current_account
690050,current_account;longterm_deposit
1086460,current_account
862470,current_account
784656,current_account;eaccount;direct_debit
928463,current_account
738111,
790485,current_account
1267410,current_account;securities
1216184,current_account
1142080,current_account
1431391,current_account
636404,current_account
365546,current_account;individual_account
587914,current_account;individual_account
1243720,payroll_account
1102697,longterm_deposit;eaccount
384335,current_account;individual_account
834557,individual_plus_account
1375758,current_account
1125809,current_account;credit_card
885734,
183194,current_account;individual_account;direct_debit
955618,current_account
112524,current_account;longterm_deposit;securities
275988,current_account;individual_account;taxes
320255,individual_account
165977,current_account;individual_account
973871,current_account
719804,
242267,current_account;individual_account;taxes;direct_debit
779202,
1415861,current_account
541604,payroll_account;eaccount;mortgage;credit_card;securities;payroll;pensions;direct_debit
280358,current_account;eaccount;credit_card
22596,
226875,current_account;eaccount
935658,current_account
947766,current_account
293335,current_account;individual_plus_account;eaccount;credit_card;securities;direct_debit
1323209,
410772,individual_account
907155,
1394684,current_account
345287,current_account;individual_account
1045627,current_account
1345033,current_account
992335,payroll_account;taxes;direct_debit
915688,current_account
808720,current_account;individual_plus_account
1207576,current_account
1060555,
1203229,current_account;taxes
984401,current_account
394443,payroll_account;individual_account;direct_debit
1267418,current_account;direct_debit
552908,current_account;individual_account
860862,current_account;individual_plus_account
921502,current_account;premium_individual_account
731748,
174947,individual_account
394567,current_account;individual_plus_account
1178841,
671509,
1387401,
797697,current_account
687162,current_account
371137,individual_account
1026441,current_account
584958,current_account;direct_debit
1222984,current_account
1107574,current_account
108777,individual_plus_account;eaccount;taxes;credit_card;direct_debit
1065515,current_account
645186,payroll_account;individual_plus_account;credit_card;payroll;pensions;direct_debit
1146529,current_account
159069,current_account
564518,
643237,current_account
956222,current_account
1354787,current_account
658521,current_account
520172,payroll_account;eaccount;direct_debit
1149693,current_account
1030262,current_account
60894,payroll_account
1446057,current_account
815221,current_account;individual_plus_account
114010,current_account;direct_debit
1359742,current_account
1209567,current_account
286342,
644768,current_account
691796,current_account;taxes
1365911,
535082,individual_account
1141616,current_account
1356733,current_account
504041,individual_account
538611,individual_account;eaccount
884257,
699224,current_account;individual_plus_account
764473,current_account
258415,current_account;individual_account;longterm_deposit
818840,current_account;individual_plus_account;taxes;direct_debit
1072649,current_account;direct_debit
1228517,current_account
1263778,current_account
236431,current_account;individual_account;direct_debit
421937,individual_account
1258463,
639128,current_account
1190565,current_account
1394057,
850137,current_account;individual_plus_account
1252313,
